0.46863234,1.67E+17
0.5130612,1.53E+17
0.56389946,1.31E+17
0.64637804,1.15E+17
0.77940893,1.14E+17
0.8871186,1.11E+17
0.96327806,9.61E+16
1.077412,8.59E+16
1.2231112,8.47E+16
1.3245318,7.90E+16
1.4259524,7.36E+16
1.4704264,6.48E+16
1.5023677,5.02E+16
1.5279148,4.12E+16
1.5280652,3.57E+16
1.6737192,3.68E+16
1.7940518,3.74E+16
2.0030918,3.69E+16
2.1551852,3.44E+16
2.2883065,3.11E+16
2.4277616,2.82E+16
2.5672472,2.49E+16
2.6687279,2.19E+16
2.7511764,1.98E+16
2.83367,1.72E+16
2.9097993,1.54E+16
2.9416354,1.32E+16
2.9672124,1.05E+16
2.9864554,8.37E+15
3.0375345,5.71E+15
3.101086,4.68E+15
3.1899135,4.06E+15
3.2914095,3.53E+15
3.3803124,2.85E+15
3.462821,2.44E+15
3.482049,1.98E+15
3.4951084,1.37E+15
3.5210316,7.86E+14
3.521513,5.00E+14
3.5350537,2.20E+14
3.5360167,8.86E+13
3.534452,9.90E+11